Clip ID,Clip URL,Goal,Required or optional,Selected source,Recording GMT20260616-075849 timestamps,Recording GMT20260616-125934 timestamps,Final clip segments,Clip title,Text content,Deck slides,Time needed,Clip notes,Confidence,Output filename,Caption filename
C01-course-strategy-support,https://zoom.us/clips/share/AOo8ue-FTkCURQgDothfqw,"Know how to approach the course, get help, and use the community instead of waiting passively.",Core for new learners,Recording 1,00:07:49-00:13:05,Not used - early portion is not captioned in the available VTT.,R1 00:07:49-00:13:05,Course strategy and support path,"Use this clip when:
- You are new to the cohort and want to know how to get help.
- You are deciding whether to start with lessons or the project.

After watching, you should be able to:
- Use the community space for questions that can help other learners too.
- Follow the project-first learning strategy: work until stuck, then return to lessons.
- Understand that the course exercises are useful practice, but the projects are the completion requirement.

You can skip this if:
- You already know where sessions, recordings, community, and 1:1 support live.",4-7,5 min 16 sec,Keep the community and strategy sections; tolerate brief Zoom/Teams discussion because it explains why learners should use community follow-up.,High,C01-course-strategy-support.mp4,C01-course-strategy-support.vtt
C02-python-variables-operators,https://zoom.us/clips/share/U1NYRs95S2yxD6wx1WcWaA,"Refresh variables, data types, operators, print output, and the first basics quiz.",As needed,Recording 1,00:13:17-00:21:20; 00:22:21-00:24:50,"Approx. quiz chat anchor at 00:24:29, but captions are unavailable; not used.",R1 00:13:17-00:21:20; R1 00:22:21-00:24:50,"Python basics: variables, types, operators, and print","Use this clip when:
- You need a quick Python refresher before reading or editing the Bikeshare script.
- You are unsure what variables, booleans, type conversion, or print output mean.

After watching, you should be able to:
- Explain how a value is stored in a variable.
- Recognize primitive and complex data types.
- Understand why `a == 3` prints `True` in the quiz.
- Use a notebook/workspace to test small expressions before writing project code.

You can skip this if:
- You are already comfortable reading simple Python expressions.",10-11,10 min 32 sec,Skips most Zoom poll setup friction and keeps the explanation plus quiz answer.,High,C02-python-variables-operators.mp4,C02-python-variables-operators.vtt
C03-data-structures-project-dictionaries,https://zoom.us/clips/share/61ATxzruThWxq2IDnyBK1g,"Understand lists, tuples, dictionaries, and sets well enough to read the project constants and data choices.",As needed,Recording 1,00:25:22-00:31:25,Not used - early portion is not captioned in the available VTT.,R1 00:25:22-00:31:25,Data structures for the Bikeshare project,"Use this clip when:
- You see lists, tuples, dictionaries, or sets in starter code and want the short version.
- You want to understand why `CITY_DATA` works like a lookup table.

After watching, you should be able to:
- Distinguish list, tuple, dictionary, and set use cases.
- Read dictionary syntax as key-value pairs.
- Explain why dictionaries are useful for mapping city names to CSV files.

You can skip this if:
- You can already read and modify Python containers comfortably.",12,6 min 03 sec,Continuous clip with the cleanest data-structure walkthrough.,High,C03-data-structures-project-dictionaries.mp4,C03-data-structures-project-dictionaries.vtt
C04-control-flow-truthiness,https://zoom.us/clips/share/54GQ-aVcQja63x1kzveWyQ,"Use if/elif/else and loops, then understand the truthiness trap that affects user input checks.",As needed,Recording 1,00:31:38-00:34:15; 00:38:15-00:43:12,"Approx. quiz chat anchor at 00:34:57, but captions are unavailable; not used.",R1 00:31:38-00:34:15; R1 00:38:15-00:43:12,Control flow and truthy values,"Use this clip when:
- Your script needs to choose a path based on city, month, day, or restart input.
- You are confused by why `if city:` runs before `elif city == ""Chicago""`.

After watching, you should be able to:
- Read basic `if`, `elif`, and `else` branches.
- Read a simple loop over city values.
- Explain why non-empty strings are treated as true in Python.
- Avoid placing a broad truthiness check before a more specific comparison.

You can skip this if:
- You are already confident with conditionals and truthy/falsy values.",13-14,7 min 34 sec,Removes most of the poll-launch troubleshooting and keeps the concept plus answer explanation.,High,C04-control-flow-truthiness.mp4,C04-control-flow-truthiness.vtt
C05-functions-scope,https://zoom.us/clips/share/KW7fyP1LQGGBSuJCoGs2Pg,Organize reusable project code with functions and understand where variables live.,Core for project work,Recording 1,00:43:54-00:52:29,Not used - early portion is not captioned in the available VTT.,R1 00:43:54-00:52:29,Functions and variable scope,"Use this clip when:
- You are turning repeated code into functions.
- You are unsure what arguments, return values, docstrings, or variable scope mean.

After watching, you should be able to:
- Explain why functions make project code easier to reuse and read.
- Identify function definitions, arguments, docstrings, function body, return values, and calls.
- Understand why a variable created inside a function may not exist outside it.

You can skip this if:
- Your project functions are already organized and readable.",16-17,8 min 35 sec,"Includes production-code motivation, simplified function example, and scope explanation.",High,C05-functions-scope.mp4,C05-functions-scope.vtt
C06-lambda-late-binding,https://zoom.us/clips/share/u7cHxt0OTEW73OFh-H9wIg,Recognize lambda expressions and understand the late-binding quiz without treating it as required project syntax.,Optional enrichment,Recording 1,00:52:29-00:58:25; 01:03:23-01:06:20,"Approx. quiz chat anchor at 00:47:24, but captions are unavailable; not used.",R1 00:52:29-00:58:25; R1 01:03:23-01:06:20,Lambda expressions and the late-binding trap,"Use this clip when:
- You saw a lambda expression and want to know what it means.
- You want to understand why the quiz prints `[3, 3, 3]`.

After watching, you should be able to:
- Describe lambda as a short anonymous function.
- Recognize when a function can be passed into another function such as `map`.
- Explain the late-binding trap: the lambdas reference `x`, and by the time they run, `x` is `3`.

You can skip this if:
- You only want the minimum needed to complete Explore US Bikeshare.",18-19,8 min 53 sec,Skips workspace access support and focuses on the lambda concept plus quiz reasoning.,High,C06-lambda-late-binding.mp4,C06-lambda-late-binding.vtt
C07-scripts-imports-errors,https://zoom.us/clips/share/8nEwQKzLSS2QpJFKE5Qquw,"Run Python scripts, import local code/modules, install packages, and read simple error handling.",Core for project work,Recording 1,01:10:36-01:16:34,Not used - early portion is not captioned in the available VTT.,R1 01:10:36-01:16:34,"Running scripts, imports, modules, and errors","Use this clip when:
- You are moving from notebook cells to a `.py` project script.
- You need to understand imports, package installation, or try/except blocks.

After watching, you should be able to:
- Run a Python script from a terminal.
- Recognize imports from local files and external modules.
- Understand why `import pandas as pd` creates the `pd` alias.
- Read basic `try` and `except` paths for invalid user input.

You can skip this if:
- You already know how to run the project script and handle simple errors.",22-25,5 min 58 sec,Starts at the script-running section and skips most local environment setup detail.,High,C07-scripts-imports-errors.mp4,C07-scripts-imports-errors.vtt
C08-debugging-pdb,https://zoom.us/clips/share/_oBnhn29RoyxagK9X3b4KQ,Debug the Bikeshare project by printing values or using `pdb` breakpoints.,As needed,Recording 1,01:16:41-01:24:06,"Not used - second recording captions begin later, after this topic.",R1 01:16:41-01:24:06,Debugging the project with print checks and pdb,"Use this clip when:
- Your script runs but the result is wrong.
- You want to inspect variable values while the program is running.

After watching, you should be able to:
- Treat errors as useful clues, not failure.
- Use print checks to discover which path your code takes.
- Understand what a `pdb.set_trace()` breakpoint does.
- Inspect variables such as the most common month inside the running project.

You can skip this if:
- Your current blocker is about pandas syntax rather than debugging flow.",26-27,7 min 25 sec,Best project-specific debugging clip from the captioned material.,High,C08-debugging-pdb.mp4,C08-debugging-pdb.vtt
C09-numpy-pandas-mental-model,https://zoom.us/clips/share/9EMge20iQcG8HQIq6b31AQ,Understand why NumPy exists and how pandas builds a table/column model for data analysis.,As needed,Recording 2,01:24:30-01:32:35,01:09:46-01:15:50,R2 01:09:46-01:15:50,NumPy and pandas mental model,"Use this clip when:
- You want the big picture before using pandas.
- You are unsure why NumPy is mentioned if the project mostly uses pandas.

After watching, you should be able to:
- Explain that NumPy helps Python do fast numerical work.
- Recognize arrays, broadcasting, and normalization at a high level.
- Understand that pandas gives you DataFrames and Series for table-like data.

You can skip this if:
- You only need project-specific pandas commands right now.",30-31,6 min 04 sec,Uses Recording 2 because it contains the clearer supplemental explanation and learner question about normalization.,High,C09-numpy-pandas-mental-model.mp4,C09-numpy-pandas-mental-model.vtt
C10-pandas-filtering-docs,https://zoom.us/clips/share/CXhI91_ZRraeGYw5wZDz_w,"Load CSV data, select columns/rows, filter values, and use docs or AI when pandas syntax is unfamiliar.",Core for pandas work,Recording 2,01:32:36-01:37:15,01:15:52-01:25:35,R2 01:15:52-01:25:35,"pandas essentials: reading, selecting, and filtering","Use this clip when:
- You need pandas basics for the Bikeshare statistics.
- You are unsure how DataFrames, Series, column selection, masks, or `.loc` work.

After watching, you should be able to:
- Describe a DataFrame as a table and a Series as a column.
- Read a CSV into pandas.
- Select a column and filter rows with a boolean mask.
- Look up pandas syntax instead of trying to memorize every function.

You can skip this if:
- You are already comfortable with pandas selection and filtering.",31-33,9 min 43 sec,Uses Recording 2 because it adds the useful learner question about headers and a live filtering example.,High,C10-pandas-filtering-docs.mp4,C10-pandas-filtering-docs.vtt
